Date-time,Class_in,Class_out
2023-12-24 15:37:15.383159,car,
2023-12-24 15:37:17.743323,bike,
2023-12-24 15:37:22.626895,,car
2023-12-24 15:37:23.058268,car,
2023-12-24 15:37:29.309947,car,
2023-12-24 15:37:34.553943,,car
2023-12-24 15:37:37.679246,car,
2023-12-24 15:37:40.709506,truck,
2023-12-24 15:37:42.072110,truck,
2023-12-24 15:37:42.172392,,bike
2023-12-24 15:37:43.075681,,bike
2023-12-24 15:37:43.075681,truck,
2023-12-24 15:37:45.703782,car,
2023-12-24 15:37:46.130783,car,
2023-12-24 15:37:47.119170,,bike
2023-12-24 15:37:54.790662,,car
2023-12-24 15:37:59.060354,car,
2023-12-24 15:38:01.558946,,bike
2023-12-24 15:38:03.024573,,bike
2023-12-24 15:38:05.048433,,car
2023-12-24 15:38:05.732180,,bike
2023-12-24 15:38:07.418774,,bike
2023-12-24 15:38:08.315484,truck,
2023-12-24 15:38:09.232798,truck,
2023-12-24 15:38:09.915941,,car
